TimeStamp,ch1,ch2,ch3,ch4
2019523.7943,20558.79,9722.76,14693.79,41438.06
2019523.7983,20571.09,9720.95,14683.92,41425.23
2019523.8023,20584.06,9720.18,14676.14,41412.79
2019523.8063,20578.05,9723.09,14684.15,41420.66
2019523.8103,20567.8,9724.67,14694.26,41435.06
2019523.8143,20558.46,9723.81,14695.74,41438.06
2019523.8183,20580.29,9722.38,14681.87,41426.57
2019523.8223,20590.26,9714.75,14667.61,41411.6
2019523.8263,20578.91,9714.08,14669.71,41413.22
2019523.8303,20574.86,9721.66,14684.49,41431.86
2019523.8343,20572.43,9725.76,14697.32,41446.12
2019523.8383,20585.78,9721.52,14692.59,41438.73
2019523.8423,20593.41,9713.84,14674.95,41420.04
2019523.8463,20585.06,9722.0,14676.43,41422.23
2019523.8503,20573.52,9727.43,14684.68,41431.1
2019523.8543,20564.37,9725.62,14689.11,41433.15
2019523.8583,20582.11,9719.75,14679.62,41426.95
2019523.8623,20594.6,9720.66,14667.27,41414.79
2019523.8663,20581.87,9718.85,14667.85,41410.98
2019523.8703,20568.23,9716.85,14674.19,41418.51
2019523.8743,20563.51,9724.05,14677.57,41428.76
2019523.8783,20581.63,9723.62,14674.38,41421.47
2019523.8823,20588.88,9714.27,14660.6,41404.87
2019523.8863,20573.14,9708.79,14656.83,41403.35
2019523.8903,20558.41,9709.55,14660.41,41410.12
2019523.8943,20556.36,9710.17,14670.47,41416.79
2019523.8983,20574.24,9707.69,14663.46,41406.21
2019523.9023,20588.35,9705.5,14655.07,41396.58
2019523.9063,20579.72,9707.12,14656.07,41402.25
2019523.9103,20576.43,9721.42,14672.85,41422.28
2019523.9143,20573.48,9728.15,14683.68,41431.77
2019523.9182,20594.17,9727.34,14679.62,41421.85
2019523.9222,20594.27,9720.28,14662.89,41400.44
2019523.9262,20582.82,9718.28,14665.32,41407.64
2019523.9302,20574.62,9721.76,14673.52,41420.94
2019523.9342,20564.46,9719.52,14676.14,41426.28
2019523.9382,20578.39,9715.37,14666.23,41412.12
2019523.9422,20591.4,9714.37,14659.12,41401.72
2019523.9462,20585.01,9718.13,14670.28,41409.16
2019523.9502,20574.0,9723.57,14683.3,41422.42
2019523.9542,20561.17,9718.32,14684.06,41427.47
2019523.9582,20577.77,9719.95,14679.72,41422.52
2019523.9622,20583.97,9716.85,14667.94,41407.73
2019523.9662,20571.14,9714.32,14665.18,41409.12
2019523.9702,20557.31,9716.99,14669.13,41413.03
2019523.9742,20546.92,9716.65,14665.27,41410.69
2019523.9782,20565.42,9718.28,14651.2,41394.43
2019523.9822,20568.71,9717.56,14636.66,41375.26
2019523.9862,20558.03,9714.65,14636.8,41374.88
2019523.9902,20546.34,9719.9,14646.58,41380.6
