TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019530.9364,383.446,827.343,352.397,1233.75,-5127.5,-17097.5,837.52,-639.92,-319.2
2019530.9864,390.339,842.532,346.846,376.25,-9012.5,-17937.5,845.12,-646.0,-322.24
2019531.0364,402.173,854.976,352.519,-3762.5,-2738.75,-2047.5,861.84,-644.48,-328.32
2019531.0864,395.585,833.382,352.397,-3858.75,2485.0,3998.75,837.52,-642.96,-311.6
2019531.1364,392.23,828.502,359.29,-2931.25,1916.25,3053.75,843.6,-647.52,-335.92
2019531.1864,402.966,837.164,363.56,-4996.25,-1750.0,3412.5,864.88,-635.36,-328.32
2019531.2364,421.632,826.733,376.553,-5678.75,-1995.0,3272.5,843.6,-642.96,-325.28
2019531.2864,418.521,825.147,384.3,-4226.25,-822.5,0.0,839.04,-633.84,-331.36
2019531.3364,408.395,816.119,387.289,-4208.75,-1496.25,-1137.5,846.64,-644.48,-338.96
2019531.3864,403.759,807.823,388.021,-1898.75,-1968.75,-2003.75,842.08,-633.84,-346.56
2019531.4364,409.859,823.744,389.973,-1417.5,-1198.75,-1575.0,846.64,-630.8,-346.56
2019531.4864,409.066,812.825,389.485,-1023.75,551.25,-1006.25,842.08,-639.92,-340.48
2019531.5364,400.282,821.914,387.594,-35.0,2660.0,2345.0,864.88,-646.0,-332.88
2019531.5864,393.389,827.099,390.949,-2126.25,2213.75,3631.25,860.32,-646.0,-358.72
2019531.6364,398.574,812.459,403.393,-2887.5,-498.75,2073.75,857.28,-644.48,-335.92
2019531.6864,406.077,805.688,406.26,-1006.25,-3202.5,953.75,845.12,-652.08,-335.92
2019531.7365,414.8,806.115,404.064,201.25,-2992.5,630.0,849.68,-636.88,-345.04
2019531.7864,418.216,804.712,393.816,2441.25,-78.75,673.75,840.56,-639.92,-348.08
2019531.8365,419.131,814.472,386.679,3158.75,1863.75,2257.5,851.2,-642.96,-357.2
2019531.8864,419.314,817.705,386.496,1618.75,3841.25,4007.5,840.56,-638.4,-328.32
2019531.9364,408.578,813.557,393.511,-122.5,2616.25,2686.25,845.12,-641.44,-338.96
2019531.9864,402.6,808.738,399.977,-717.5,218.75,1548.75,849.68,-638.4,-340.48
2019532.0364,406.138,819.352,401.563,-1076.25,-3342.5,-227.5,840.56,-653.6,-351.12
2019532.0863,418.521,809.653,402.966,-2458.75,-4655.0,-525.0,851.2,-644.48,-337.44
2019532.1364,424.926,797.087,403.698,-1006.25,-2808.75,-1522.5,860.32,-630.8,-345.04
2019532.1864,420.961,802.455,403.149,52.5,-621.25,-726.25,854.24,-639.92,-320.72
2019532.2364,418.643,810.934,395.585,-210.0,2318.75,-122.5,842.08,-642.96,-338.96
2019532.2864,401.38,814.716,400.892,-2756.25,1785.0,105.0,836.0,-636.88,-335.92
2019532.3363,404.186,806.603,408.639,-2502.5,-210.0,-183.75,836.0,-649.04,-346.56
2019532.3864,412.238,803.309,413.58,-1461.25,-1767.5,-1277.5,851.2,-632.32,-345.04
2019532.4363,413.214,805.871,412.299,-1076.25,-1067.5,-2021.25,846.64,-642.96,-325.28
2019532.4864,406.016,805.139,413.763,-1067.5,-271.25,-1706.25,861.84,-646.0,-348.08
2019532.5364,395.28,805.322,411.201,481.25,-717.5,-1172.5,845.12,-641.44,-337.44
2019532.5864,393.023,803.37,413.275,1268.75,-1522.5,175.0,851.2,-630.8,-355.68
2019532.6364,409.127,806.664,408.822,2371.25,-848.75,1557.5,848.16,-647.52,-332.88
2019532.6864,416.752,810.568,401.441,2870.0,743.75,2222.5,842.08,-632.32,-337.44
2019532.7363,413.092,817.827,396.927,770.0,1076.25,656.25,848.16,-636.88,-349.6
2019532.7864,396.622,813.618,405.101,-1347.5,-2178.75,-2222.5,848.16,-641.44,-352.64
2019532.8363,394.182,814.838,408.7,-1496.25,-3850.0,-2511.25,861.84,-644.48,-338.96
2019532.8864,404.491,804.224,409.981,-1303.75,-3832.5,-17.5,851.2,-639.92,-332.88
2019532.9364,413.58,803.248,406.992,-245.0,-2161.25,586.25,857.28,-653.6,-351.12
2019532.9864,415.776,805.017,405.772,805.0,-43.75,1155.0,854.24,-650.56,-352.64
2019533.0364,410.164,813.13,403.698,-52.5,341.25,-227.5,860.32,-655.12,-354.16
2019533.0864,398.33,812.642,407.541,-857.5,-621.25,-1233.75,857.28,-647.52,-348.08
